Date (date),RTGS Volume (rtgs_vol),RTGS Value (rtgs_val),NEFT Volume (neft_vol),NEFT Value (neft_val),AePS Volume (aeps_vol),AePS Value (aeps_val),UPI Volume (upi_vol),UPI Value (upi_val),IMPS Volume (imps_vol),IMPS Value (imps_val),NACH Credit Volume (nach_credit_vol),NACH Credit Value (nach_credit_val),NACH Debit Volume (nach_debit_vol),NACH Debit Value (nach_debit_val),NETC Volume (netc_vol),NETC Value (netc_val),BBPS Volume (bbps_vol),BBPS Value (bbps_val),CTS Volume (cts_vol),CTS Value (cts_val),Credit Card (At PoS and e-Commerce) Volume (credit_card_at_pos_and_e_commerce_vol),Credit Card (At PoS and e-Commerce) Value (credit_card_at_pos_and_e_commerce_val),Debit Card (At PoS and e-Commerce) Volume (debit_card_at_pos_and_e_commerce_vol),Debit Card (At PoS and e-Commerce) Value (debit_card_at_pos_and_e_commerce_val),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Volume (ppis_card_at_pos_and_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Value (ppis_card_at_pos_and_e_commerce_val),NFS (through ATMs) Volume (nfs_through_atms_vol),NFS (through ATMs) Value (nfs_through_atms_val),AePS (through micro-ATMs / BCs) Volume (aeps_through_micro_atms_or_bcs_vol),AePS (through micro-ATMs / BCs) Value (aeps_through_micro_atms_or_bcs_val),Credit Card Volume (credit_card_at_pos_vol),Credit Card Value (credit_card_at_pos_val),Credit Card Volume at e-Commerce (credit_card_at_e_commerce_vol),Credit Card Value at e-Commerce (credit_card_at_e_commerce_val),Debit Card Volume (debit_card_at_pos_vol),Debit Card Value (debit_card_at_pos_val),Debit Card Volume at e-Commerce (debit_card_at_e_commerce_vol),Debit Card Value at e-Commerce (debit_card_at_e_commerce_val),Prepaid Payment Instruments (PPIs) Card Volume (ppis_card_at_pos_vol),Prepaid Payment Instruments (PPIs) Card Value (ppis_card_at_pos_val),Prepaid Payment Instruments (PPIs) Card Volume at e-Commerce (ppis_card_at_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card Value at e-Commerce (ppis_card_at_e_commerce_val),Government Securities Clearing Volume (government_securities_clearing_vol),Government Securities Clearing Value (government_securities_clearing_val),Forex Clearing Volume (forex_clearing_vol),Forex Clearing Value (forex_clearing_val),Rupee Derivatives (for all deals matched during the day) Volume (rupee_derivatives_vol),Rupee Derivatives (for all deals matched during the day) Value (rupee_derivatives_val)
"2021-02-13","0.73","5902.81","23.8","9909.02","0.36","9.91","797.38","13406.04","107.66","8078.61","","","","","57.81","89.61","9.11","120.12","","","28.38","880.58","80.19","1316.91","3.53","117.25","117.05","4874.36","23.3","636.9","","","","","","","","","","","","","","","","","",""
"2022-08-24","7.76","481309.99","125.47","93817.85","0.7","21.85","2082.78","33988.13","144.34","14447.23","123.65","4246.44","13.27","1378.64","84.78","137.32","27.5","555.48","23.63","24413.12","","","","","","","96.66","3715.68","34.55","851.33","29.02","988.35","25.52","1469.23","51.15","1009.48","25.77","479.33","1.74","31.57","3.0","68.55","0.07","742386.03","0.1","244434.2","0.01","36109.0"
"2023-10-29","0.89","7720.38","106.81","14187.08","0.65","18.41","3441.31","39525.24","132.26","10416.29","0.58","141.77","2.06","230.53","110.82","191.97","28.37","469.06","0.0","0.0","","","","","","","91.28","3318.14","22.07","539.95","33.46","1220.82","32.48","1488.46","31.61","771.79","11.39","277.49","0.86","14.67","0.81","28.54","","","","","",""
"2022-05-15","0.52","4141.69","37.65","6976.2","0.48","14.83","1884.54","25653.0","134.01","8010.55","16.88","227.38","53.14","4944.03","98.68","144.56","23.58","311.67","","","","","","","","","103.64","3928.91","28.51","727.83","27.24","768.33","21.68","814.89","51.1","986.5","24.36","352.91","3.34","51.03","4.43","51.33","","","","","",""
"2020-06-27","","","13.77","6805.17","0.52","8.33","436.26","7586.08","62.86","5836.21","","","","","29.17","53.85","4.93","81.78","","","","","","","","","90.47","3525.75","28.11","634.87","","","","","","","","","","","","","","","","","",""
"2023-05-11","8.12","493739.6","165.01","122331.05","0.46","17.76","3085.46","50019.11","164.8","17664.72","187.48","5360.9","23.43","2990.85","106.23","175.0","37.75","766.45","22.4","24126.11","","","","","","","112.74","4910.19","33.22","952.28","32.25","1202.43","37.39","2366.43","43.36","968.18","20.95","491.15","1.02","25.8","1.36","39.47","0.07","703569.87","0.12","252340.79","0.0","12925.63"
"2022-05-04","9.49","510722.98","166.95","115457.56","0.42","17.12","1944.96","39142.74","167.72","18445.18","104.53","4081.81","25.18","3324.9","86.6","128.67","28.68","428.64","35.85","35195.69","","","","","","","114.86","5144.46","35.91","1071.27","37.49","1505.15","37.12","2814.33","77.09","1833.45","41.23","749.31","2.99","74.16","5.66","190.99","0.05","603222.32","0.11","309548.93","0.01","33740.0"
"2023-10-14","2.19","23263.92","125.2","26968.29","0.48","18.82","3320.07","41345.44","149.09","14295.76","143.94","2819.08","10.12","843.09","105.17","186.26","32.33","628.98","0.0","0.0","","","","","","","114.91","4609.32","31.52","803.96","32.3","1092.93","39.26","2193.62","39.43","882.07","15.42","389.32","0.97","16.09","0.95","34.36","","","","","",""
"2023-10-30","12.8","725664.96","240.4","174667.01","0.7","21.6","3689.75","60412.71","159.53","20945.48","96.04","10489.24","27.95","3290.77","101.15","177.39","38.47","971.33","35.8","36443.67","","","","","","","97.74","4043.63","28.52","762.92","53.08","2145.94","58.04","4624.96","48.76","1248.68","22.45","635.06","0.84","16.45","0.83","26.2","0.06","695595.98","0.09","280254.88","0.0","6305.0"
"2022-04-11","10.33","644059.64","188.95","118667.86","0.52","19.17","1920.92","37147.71","169.77","17005.59","282.49","5401.0","53.92","4124.62","83.43","130.31","26.56","425.94","40.31","38960.07","","","","","","","119.02","5266.87","37.47","1074.22","47.26","1583.4","40.5","2266.57","90.63","1891.44","49.7","809.16","3.02","53.67","5.8","93.78","0.06","679614.13","0.11","320552.23","0.01","36405.0"
